episode,MU2MV,AoP-aware,DGTT,Greedy
0.0,0.0,0.0,0.189436541351491,9.472719916777539
1.0,0.0,0.0,0.0,9.231000774759709
2.0,0.0,0.0,0.0,9.03246140254681
3.0,0.0,0.0,0.0,8.882354594434535
4.0,0.0,0.0,0.0,8.885667345266379
5.0,0.0,0.0,0.0,8.538617253385949
6.0,0.0,0.0,0.0,8.253866102475387
7.0,0.0,0.0,0.0,7.785746005054076
8.0,0.0,0.0,0.0,7.066782415449431
9.0,0.3007504869000841,0.0,0.0,6.455708265085192
10.0,0.7367881685759332,0.0,0.0,5.967035824547667
11.0,0.24034231825784702,0.1352135610004665,0.0,5.3343489338924215
12.0,0.12198029016070067,0.0,0.0,4.79695408631304
13.0,0.0,0.0,0.0,3.9668936776993062
14.0,0.0,0.0,0.0,3.409942416105861
15.0,0.0,0.0,0.0,2.8454111830504583
16.0,0.0,0.0,0.0,2.5795175579053926
17.0,0.0,0.0,0.0,2.729105026444596
18.0,0.0,0.0,0.0,2.9007111718110288
19.0,0.0,0.0,0.0,3.1093298811371204
20.0,0.0,0.0,0.0,3.4001134514500775
21.0,0.0,0.0,0.0,3.4897757871822637
22.0,0.0,0.0,0.0,3.8633265888299757
23.0,0.0,0.0,0.0,4.26767867409638
24.0,0.0,0.0,0.0,4.679718137686816
25.0,0.0,0.0,0.0,4.955115241986049
26.0,0.0,0.0,0.6929998677854634,5.185093037617386
27.0,0.06193375581688757,0.0,3.0369352410965726,5.211629307056149
28.0,0.23032662707968884,0.0,5.095773159530745,5.14623211736
29.0,0.0,0.0,6.354917371200699,5.108410113794687
30.0,0.0,0.0,7.66388140724021,5.144061862225925
31.0,0.0,0.0,9.482156707937811,4.875412782959899
32.0,0.0,0.0,10.944155480611538,4.73713920597972
33.0,0.0,1.07446184497433,12.674584758530939,4.766739420937631
34.0,0.0,3.0811188622377594,13.075947402641221,5.1090529644436256
35.0,0.0,4.5600877942349225,12.70541661935937,5.306314634410824
36.0,0.0,4.793492817009758,11.330958195669867,5.734708732164306
37.0,0.0,5.153721309227652,9.343355163916394,6.396115641200542
38.0,0.0,5.3488716380155905,7.804002164035898,6.962876181279732
39.0,0.0,4.734729628506301,6.0471888856828615,7.565665163756025
40.0,0.0,3.6355401052930305,4.257545586108246,8.287690986156056
41.0,0.0,2.124985206929487,2.858529379621538,8.967648137441554
42.0,0.0,0.5553838900267261,1.2420686557536018,9.35207547626892
43.0,0.0,0.0,0.0,9.47215116760845
44.0,0.0,0.0,0.0,9.587683283726241
45.0,0.0,0.0,0.0,9.539268221594577
46.0,0.0,0.0,0.0,9.476912589048457
47.0,0.0,0.0,0.0,9.631714198760255
48.0,0.0,0.0,0.0,9.496050757726874
49.0,0.0,0.0,0.0,9.367955695581093
50.0,0.0,0.0,0.0,9.23370947586608
51.0,0.0,0.0,0.0,9.232168255052274
52.0,0.0,0.0,0.0,9.41643724761166
53.0,0.0,0.0,0.0,9.712195391149226
54.0,0.13325565794143357,0.0,0.0,10.097020623802422
55.0,0.8607661212083305,0.0,0.0,10.189887378572834
56.0,1.6096686725771865,0.0,0.0,10.081687852698549
57.0,1.61367789319325,0.0,0.0,10.072879521079743
58.0,2.0900242020997366,0.0,0.0,10.113735731942505
59.0,2.804539876735538,0.0,0.0,10.241523742935845
60.0,2.5849260629286275,0.0,0.0,10.292640023724957
61.0,2.0340839717455044,0.0,0.0,9.957603071613331
62.0,1.8866096181480196,0.0,0.0,9.77850316989471
63.0,1.8095877975756263,0.0,0.0,9.646045998266382
64.0,2.009655678395551,0.0,0.0,9.569908710401227
65.0,2.987569275665188,0.0,0.0,9.565366663346493
66.0,5.096922841575284,0.0,0.0,9.628442064040406
67.0,6.624994176579946,0.0,0.0,9.621010324832211
68.0,6.986054103180688,0.0,0.0,9.804494527469632
69.0,7.208345302993814,0.0,0.0,10.19827327539392
70.0,7.673209532946838,0.0,0.0,10.64961102904593
71.0,7.293959988572974,0.0,0.0,10.996391617499249
72.0,6.671500089040744,0.0,0.0,11.377742765638489
73.0,7.131444598188807,0.0,0.0,11.749653979295086
74.0,6.8994261726635635,0.0,0.0,11.868036328643315
75.0,5.992246158637359,0.0,0.0,12.136553985209337
76.0,4.731520846996401,0.0,0.0,12.578884481679669
77.0,4.565463005202718,0.0,0.0,12.716237733862004
78.0,3.504764194707739,0.0,0.0,12.83653749097422
79.0,1.9833892391675594,0.7121362535658657,0.0,13.047088505309691
80.0,0.6658124260006124,1.2524257933887917,0.0,13.154407250558119
81.0,0.027233543910176516,2.5907727558492346,0.0,13.006851581165824
82.0,0.0,3.8939041296600774,0.0,12.821196848534168
83.0,0.0,5.098057039181056,0.0,12.790950977051738
84.0,0.0,6.825319698302577,0.0,12.69472829751611
85.0,0.0,7.940302068207697,0.0,12.381519107466946
86.0,0.0,9.0001278230231,0.0,12.173885394152304
87.0,0.0,10.044154545904467,0.239076882021932,11.666978992167193
88.0,0.7637644702014217,10.352708460470373,2.3074740919566947,11.155806200607588
89.0,3.7666296218708033,10.099497783494387,4.674884880826896,10.735870882476183
90.0,6.525672603067429,9.526257172395193,5.938915983100864,10.397962112802325
91.0,9.233618250727575,8.963915384348663,7.052281243493301,9.96262034593099
92.0,11.663076004086035,8.67843409593444,7.66349754451474,9.465323569610394
93.0,13.890393704620147,7.7593450765198195,8.27632083951225,8.802439995895474
94.0,16.199464400462485,6.617332213848737,9.032973740780744,8.23751042888269
95.0,18.31245253759809,5.307717811902883,9.31465658631,7.484785899860513
96.0,19.268075533386494,3.886386696724077,9.647591735808621,6.9188638317675455
97.0,19.320119578062673,2.7208631204930134,9.910736002166836,6.675337069896506
98.0,18.656803228380877,2.227474793844677,9.712402593007196,6.4819027100851665
99.0,18.00964078512298,1.357388906171806,9.590330172307482,6.391858526065899
100.0,17.590286746131625,0.0,9.063358387039916,6.524794242125445
101.0,16.62539193650564,0.0,8.314304161014027,6.884269629099933
102.0,15.133276678692312,0.0,7.915964390476936,7.180552593551582
103.0,14.159440498295027,0.0,6.894067742738432,7.6609605445682964
104.0,13.132005002585736,0.0,6.22786591664911,8.164570127947119
105.0,12.14836576318996,0.0,5.354660695782307,8.683705578913365
106.0,11.056391226198121,0.0,4.386890950630854,9.064153898895979
107.0,10.438502394482635,0.0,3.7457973366084354,9.223339021383222
108.0,9.895077846292569,0.0,3.397002350612338,9.493650298440755
109.0,9.208779167702714,0.0,3.6274452928035776,9.656266120735497
110.0,9.79535482458747,0.0,3.3696272921400623,9.920344795546677
111.0,10.733715875186208,0.0,2.8351243997231697,10.20443604803888
112.0,10.085257326556794,0.0,2.8982751291107096,10.39677467444185
113.0,10.532774479668838,0.0,3.1342127210604773,10.7368991234088
114.0,11.207680919479422,0.0,3.250244019623132,10.855564285862224
115.0,12.30591817915081,0.0,3.1870219513406766,10.866446986983103
116.0,13.406078631556209,0.0,2.6677228643980264,10.983877406077513
117.0,14.322341588619977,0.0,1.762963948149632,11.023523478319333
118.0,14.714660058152898,0.0,0.5472817515024256,11.235449632523084
119.0,14.536197292969687,0.0,0.0,11.162069897728697
120.0,14.257665114464181,0.0,0.0,11.44884410774858
